"Timestamp","You're Preferred/Favorite Genres"
"2024/06/08 4:44:58 pm GMT+4","Action;Adventure;Superhero;Fps"
"2024/06/08 4:58:23 pm GMT+4","Action;Adventure;Comedy;Crime;Drama;Fantasy;Historical;Horror;Romance;Science Fiction;Thriller"
"2024/06/08 5:02:17 pm GMT+4","Action;Adventure;Comedy;Crime;Drama;Fantasy;Horror;Mystery;Romance;Thriller;Western;Documentary;"
"2024/06/08 5:20:18 pm GMT+4","Action;Adventure;Comedy;Horror;Mystery;Science Fiction;Documentary"
"2024/06/08 5:20:29 pm GMT+4","Action;Adventure;Comedy;Crime;Drama;Fantasy;Historical;Horror;Mystery;Science Fiction;Thriller;Documentary"
"2024/06/08 5:20:59 pm GMT+4","Comedy;Crime;Horror;Mystery;Science Fiction;Thriller;Documentary"
"2024/06/08 5:33:46 pm GMT+4","Action"
"2024/06/08 5:38:39 pm GMT+4","Action"
"2024/06/08 6:08:47 pm GMT+4","Comedy;Historical;Romance;Documentary"
"2024/06/08 6:09:10 pm GMT+4","Comedy;Historical;Romance;Documentary"
"2024/06/08 6:09:27 pm GMT+4","Comedy;Historical;Romance;Documentary"
"2024/06/08 7:59:34 pm GMT+4","Action;Comedy;Fantasy"
"2024/06/09 2:00:20 am GMT+4","Action;Adventure;Comedy;Crime;Drama;Fantasy;Historical;Horror;Mystery;Science Fiction;Thriller"
"2024/06/09 6:52:49 am GMT+4","Adventure;Documentary;Real story"
"2024/06/09 7:16:27 am GMT+4","Comedy;Drama;Fantasy;Horror;Mystery;Romance;Documentary;Superhero"
